"title","authors","issue","abstract"
"老年人情绪注意积极效应的发生机制","刘海宁1,2,3,刘晓倩2,3,4,刘海虹1,李峰5,6,韩布新2,3()","2019 Vol. 27 Issue (12)  2064-2076<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02064","20世纪, 许多心理学家从“厄运与苦难”视角研究人晚年遭遇的身体、认知和情绪衰老, 但是近年的理论与实证研究从“老化悖论”——老年人情绪加工的积极效应——视角挑战这一“定论”。积极效应指老年人认知加工过程中比年轻人更偏好正性而非负性材料的现象。第二代社会情绪选择理论包括积极效应理论、认知控制假说和强弱整合模型3个关于认知和情绪功能年龄差异的理论模型, 特别强调了认知控制在老年人积极情绪加工中的潜在作用, 而自动化加工与控制性加工的区分则取决于注意资源配置。因此, 认知控制在老年人对积极情绪的注意加工中起重要作用。此外, 注意偏向的时间进程也是影响老年人情绪注意中积极效应的关键因素。最后, 综合以往研究构建出认知控制对老年人积极效应发生作用的注意阶段模型。未来研究可从中国老年人情绪注意加工模式、不同认知控制子成分的作用机制、提高研究生态学效度和注意的治疗品质几个方面继续探索。"
"安全依恋对共情和利他行为的影响","潘彦谷1(),肖遥1,胡俞1,刘广增2,李知洋3","2019 Vol. 27 Issue (12)  2077-2083<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02077","利他行为(Altruistic behavior)指以增加其他个体的福利为最终目标的行为, 它既是社会心理学领域的重要研究主题也是社会和谐稳定的需要。共情(Empathy)指个体感知或想象他人的情感, 并部分体验到他人感受的心理过程, 是利他行为的内在动机。已有研究证明, 安全依恋风格和安全依恋启动对个体共情和利他行为有积极影响。根据依恋理论和相关文献可以推测, 情绪调节和认知图式可能是安全依恋影响个体共情和利他行为的两种心理机制。未来可以探讨利他行为实施者与接受者的关系远近及双方依恋风格匹配程度的调节作用, 进一步验证安全依恋影响共情和利他行为的心理机制, 探讨利他行为对安全依恋的反向促进作用以及开发通过安全依恋培养个体共情能力和利他行为的干预方案。"
"群际偏差的进化：人类对暴力与疾病威胁的适应","周晴,吴奇()","2019 Vol. 27 Issue (12)  2084-2096<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02084","内群体偏好与内群体贬低现象普遍存在于社会生活中, 但为何会存在这两种群际偏差的心理机制以及这两种群际偏差是否具有进化基础的问题一直没有得到解答。通过系统整理在暴力威胁和疾病威胁构成的生存压力下, 两种群际偏差遵循烟雾探测原则和功能弹性原则处理威胁线索的研究报告, 研究说明了两者虽然方向完全相反, 但却是同一威胁管理机制对特定的内外群体关系产生的不同反应, 具有进化的适应性, 支持其进化假说。"
"敌意解释偏向与攻击的关系","张丽华(),苗丽","2019 Vol. 27 Issue (12)  2097-2108<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02097","敌意解释偏向是一种认知加工偏向, 指个体将模棱两可信息以敌意的方式进行解释的倾向, 它会对个体的攻击行为产生影响。攻击也会影响个体的敌意解释偏向:作为一种人格特质, 高攻击性使个体更容易产生敌意解释偏向; 作为一种行为反应, 攻击对敌意解释偏向具有发展和强化作用。敌意解释偏向和攻击之间可能存在循环关系。两者关系会受到性别、年龄以及人格特点等因素影响。未来研究需要改进敌意解释偏向与攻击的测量工具, 使测量更为直接、客观; 拓展两者不同亚类之间的交互研究, 以全面系统地了解两者之间的关系; 深入探究情绪在敌意解释偏向与攻击行为关系中的作用; 整合信息加工过程, 探究它们的交互作用对攻击行为的影响等。"
"政治技能的实施效果及其理论解释","吴论文,杨付()","2019 Vol. 27 Issue (12)  2109-2121<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02109","政治技能(Political skill)作为一种重要的社会能力, 是组织核心竞争力的关键, 近年来受到学者广泛关注。根据内容分析法(Content analysis)要求, 深入探讨分析了政治技能的实施效果及其理论解释, 总结出5种理论视角: 社会交换理论、社会影响理论、资源保存理论、社会认知理论和社会资本理论。未来研究应关注中国组织情境下政治技能的概念和测量、探索政治技能的诱因、基于团队层面政治技能的实施效果和基于资源保存理论视角的政治技能实施效果。"
"员工何以蓬勃旺盛?影响工作旺盛感的组织情境与理论模型","刘玉新1(),朱楠1,陈晨1,张建卫2,王帅1","2019 Vol. 27 Issue (12)  2122-2132<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02122","工作旺盛感是个体在工作中同时感受活力和学习一种心理状态。组织情境中领导、组织支持和公平、工作特征和同伴均影响工作旺盛感。基于特质激活和自我决定理论, 构建“组织情境影响工作旺盛感的心理机制”模型：“全景式”和“离散式”组织情境能直接影响基本心理需求的满足, 或者先激活特质, 再影响基本心理需求满足, 进而影响工作旺盛感。未来应加强“全景式”组织情境及其中介机制研究, 开展个体和组织情境变量以及社会层和任务层等多层次整合研究, 并运用动态研究方法研究组织情境与工作旺盛感之间的联动变化规律, 预测工作旺盛感。"
"怎样花钱更幸福?购买类型对幸福感的影响","余樱1(),景奉杰2,杨艳2","2019 Vol. 27 Issue (12)  2133-2140<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02133","以往研究认为满足基本生活需求后, 消费者购买与幸福感不显著相关。近期研究发现, 购买是否能够提升幸福感, 取决于如何购买, 例如购买体验产品比物质产品更有利于提升幸福感, 但存在边界条件。文章从个人层面的享乐适应、预期利益、非对称后悔视角及社会层面的社会利益视角对这一结论进行解释, 并从个人因素、情境因素及幸福感的类型三个层面识别了物质购买在提升幸福感上表现更优异的边界条件, 同时对该领域未来可能的创新研究方向进行展望。"
"奏响长者的“生命质量”凯歌","谢晓非(),邓州,李慕轼,朱敏帆","2019 Vol. 27 Issue (11)  1793-1801<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01793","“健康老龄化”的探索中, 指标的定义至关重要。“生命质量”综合了生理、心理、社会、环境等多维度指标, 优于“预期寿命”、“健康预期寿命”等传统概念, 其定义在发展中被广为接受, 强调个体自评的主观性、可塑性和多维度。促进积极心理因素的干预是改善老年生命质量的有效路径。老龄化过程虽必然伴随生理系统衰退, 但心理系统积极参与, 仍能为年长者奏响生命质量的凯歌。"
"互联网连接性降低自主性的机制与后效","王海侠1,贾汇源2,孙海龙3,李爱梅1","2019 Vol. 27 Issue (11)  1802-1811<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01802","万物可互联了, 时间却稀缺了, 情感也耗竭了。把这三种现实工作中的趋势关联起来的关键概念是自主性：员工不能自主控制工作时间引发时间稀缺和情感耗竭。过往研究认为, 在一般情景中, 互联网连接性会增加自主性。但是, 当处于一种不对称的权力依赖关系中时, 互联网连接性反而会降低自主性。借助权力依赖理论, 相对依赖性和家长式领导监控氛围是逆转互联网连接性增强自主性的关键条件。通过引入权力依赖理论, 从一个新颖的视角探讨互联网连接性降低自主性的作用机制及其后效, 所构建的理论模型挑战了以往文献中互联网连接性增加自主性的主流理论观点, 也为互联网连接性环境下的自主性问题构建了一个新的理论基础。"
"贝叶斯结构方程模型及其研究现状","张沥今,陆嘉琦,魏夏琰,潘俊豪()","2019 Vol. 27 Issue (11)  1812-1825<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01812","在心理学研究中结构方程模型(Structural Equation Modeling, SEM)被广泛用于检验潜变量间的因果效应, 其估计方法有频率学方法(如, 极大似然估计)和贝叶斯方法两类。近年来由于贝叶斯统计的流行及其在结构方程建模中易于处理小样本、缺失数据及复杂模型等方面的优势, 贝叶斯结构方程模型发展迅速, 但其在国内心理学领域的应用不足。主要介绍了贝叶斯结构方程模型的方法基础和优良特性, 及几类常用的贝叶斯结构方程模型及其应用现状, 旨在为应用研究者介绍新的研究工具。"
"解释现象学分析在中国的运用：系统评价及指南","侯力琪1,唐信峰2(),何丽3,贾晓明4","2019 Vol. 27 Issue (11)  1826-1841<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01826","作为一种质性研究方法, 解释现象学分析在心理学及社会科学的其他领域中逐渐兴起。目前在中国, 运用解释现象学分析的研究质量参差不齐, 对这些研究进行系统评价, 可以为将来的研究提供指导。通过对中英文数据库的检索及筛选, 最终纳入49篇期刊文章。根据Smith (2011)为解释现象学分析提出的4个标准对这些文章进行评价, 结果显示, 26篇研究明确提及了解释现象学的理论原则, 33篇文章的资料收集及分析过程清晰透明, 大部分研究(n = 40)条理清晰、言之成理, 但只有约1/4的研究(n = 13)提供了足够强的证据来支持其提取出来的主题。只有4篇全部达到质量标准, 11篇基本达到标准, 大部分文章没有达到标准。最后, 本研究尝试提出一份解释现象学分析的使用指南, 供将来的研究参考。"
"情绪词加工过程及其情绪效应特点：ERP的证据","王霞1,卢家楣1(),陈武英2","2019 Vol. 27 Issue (11)  1842-1852<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01842","语言是传递情绪信息的重要媒介, 探讨情绪语言的加工过程一直是情绪研究的重点。文章聚焦于情绪词加工的ERP研究, 介绍了情绪词加工中的ERP成分、效价与唤醒度的作用关系, 以及情绪词情绪效应的特点。情绪词加工的ERP成分包括非常早期的P1-N1成分, 早期的EPN成分和晚期的LPP成分; 效价和唤醒度均在情绪词加工中具有重要作用, 但两者的关系还未得到一致结论。相比情绪图片, 情绪词加工所引发的情绪效应更弱, 并且存在积极效价偏向。今后的研究还需进一步探讨影响情绪词情绪效应产生的相关因素; 进一步区分情绪标注词和情绪负载词, 探讨两类情绪词加工的异同。此外, 结合眼动追踪技术探讨自然语境中的情绪词加工机制也是未来研究的一个重要方向。"
"焦虑个体抑制控制缺陷的研究现状和争议：基于注意控制理论视角","魏华1,周仁来1,2()","2019 Vol. 27 Issue (11)  1853-1862<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01853","根据注意控制理论的观点, 焦虑会削弱个体的抑制控制功能。虽然这一假设得到了大量行为学和神经生理证据的支撑, 但在高焦虑个体是增加还是减少自上而下注意控制资源来完成抑制控制任务这一核心问题上却存在较大争议。多种因素的存在造成了这一局面。理论解释本身存在明显的不足; 实证研究中多种额外变量的存在导致已有研究结果的信效度较低。未来可以通过探索焦虑水平、注意控制水平和抑制控制之间的关系来解决这一争议。"
"物质相关线索对成瘾者反应抑制的影响","苏波波,郑美红()","2019 Vol. 27 Issue (11)  1863-1874<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01863","成瘾者失控的物质寻求和使用与反应抑制的关系密切。很多研究在物质相关线索情境中探讨了这一关系。物质相关线索既可受到自动的注意加工, 又可诱发非自动的趋近动机状态。因此, 它们可能通过刺激驱动和状态依赖两种方式消耗有限的认知资源从而影响反应抑制, 这在成瘾行为的发展和维持中起到重要作用。未来需要在揭示其神经机制、明确物质使用动机或态度的调节、采用真实情境进行研究, 以及开发有效的干预方法等几个方面开展研究。"
"睡眠质量对冒险行为影响的证据及解析","刘晓婷1,张丽锦1(),张宁2","2019 Vol. 27 Issue (11)  1875-1886<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01875","睡眠质量影响个体冒险行为已得到许多研究的验证和支持。睡眠缺失既影响大脑前额叶功能的完整性, 也影响杏仁核、纹状体等脑区的激活, 从而降低了个体对危险的知觉和对损失的敏感, 导致冒险意愿和冒险行为增加。已往相关研究多以成人群体为研究对象, 且忽略了个体特质与所处社会环境在睡眠质量与冒险行为关系中的交互影响。由于青少年期睡眠不足和高冒险行为普遍存在, 未来研究应对青少年睡眠质量与冒险行为的关系及其中的影响作用机制, 尤其是神经机制给予更多关注。"
"社交焦虑注意偏向的动态变化","蒋婧琪,王浩宇,钱铭怡()","2019 Vol. 27 Issue (11)  1887-1895<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01887","注意偏向是社交焦虑障碍(Social Anxiety Disorder, SAD)个体症状维持的重要因素, 其中注意警觉、注意回避、注意脱离困难三种注意模式得到了研究者最广泛的研究与讨论。随着研究深入, 有研究者提出SAD个体的注意模式不是单一、静态模式, 更有可能在不同注意模式间切换, 表现为动态的过程。目前, 依据相关研究结果和理论假设, 证据均指向SAD个体的注意偏向具有随着焦虑水平提高和注意控制能力受损而动态变化的倾向, 从注意警觉过渡到注意回避与注意脱离困难均如此。此观点还需研究进一步证实, 并且基于研究结果提出更具有针对性的干预方式。"
"PEAK关系训练系统：孤独症语言障碍康复的新方法","白晓宇1,2,TawandaS.Mutusva2,3,祝卓宏1,2()","2019 Vol. 27 Issue (11)  1896-1905<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01896","PEAK (Promoting the Emergence of Advanced Knowledge, 促进高阶知识涌现)关系训练系统是全球首个同时整合了斯金纳的《言语行为》和后斯金纳主义的“关系框架理论”, 促进孤独症谱系障碍(Autism spectrum disorders, ASD)患者的语言、学习、社交等核心技能发展的语言行为评估训练系统。截至2018年底, PEAK关系训练系统由以下4个模块组成：直接训练模块、泛化模块、等价关系模块、功能转化模块。每一模块依据难易程度分别设置了184个目标能力的评估方法及训练课程。已发表的多项实证研究表明, PEAK关系训练系统打破了《语言行为里程碑评估及安置程序》(Verbal Behavior Milestones and Placement Program, VB-MAPP) 对ASD患者进行里程碑评估时出现的“天花板效应”, 有望比VB-MAPP提供更全面、高阶的语言行为评估体系。此外, PEAK关系训练系统表现出的评估工具的信效度良好、多项效果研究显著、实践中易操作等特性, 使其不仅适用于专业人员教学, 未来在ASD患者家庭干预模式中也有潜在的应用价值。"
"工作场所文明行为：从内隐的自我提升到外显的组织优化","严瑜(),曹照雪","2019 Vol. 27 Issue (11)  1906-1916<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01906","工作场所文明行为是一种在组织文化下, 基于社会和组织角色义务的, 传达礼貌和尊重的主动性行为, 是一种向内要求自我控制, 向外主张尊重传达的行为, 它对于个体自身性格的塑造、组织中人际关系的改善以及文明氛围的培养都具有积极意义。在员工-员工、领导-下属、员工-顾客等关系中, 工作场所文明行为发挥着增进同事情谊、促进合作、增强领导力、建立信任、提升绩效等作用。未来的研究应该进一步厘清工作场所文明行为与不文明行为的关系, 运用动态视角研究它们发生、发展和被感知的机制, 以及这两种行为能否相互转化等问题。"
"工作场所领导愤怒的有效性及其作用机制","冯彩玲()","2019 Vol. 27 Issue (11)  1917-1928<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01917","领导愤怒(leader anger)作为最常见、最易被感受到的工作场所负面情绪之一, 对于改善工作关系、行为和绩效具有显著影响。然而, 已有文献关于领导愤怒阻碍还是促进领导有效性的观点存在许多争议, 对于领导愤怒为什么以及何种条件下影响领导有效性的问题尚不明确。在回顾工作场所领导愤怒概念起源和内涵特点的基础上, 从消极效应和积极效应双刃视角厘清了工作场所领导愤怒的有效性, 基于情绪即社会信息理论阐释了工作场所领导愤怒有效性的双路径中介机制, 并从个体/团队/组织三层面分析了领导愤怒有效性的边界条件。未来研究应从工作场所领导愤怒的概念和结构测量、事件前因和后果、中介机制、情境因素、研究方法和研究层面等方面进一步拓展。"
"厌恶情绪与消费者行为","杜伟强()","2019 Vol. 27 Issue (11)  1929-1938<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01929","厌恶与其他消极情绪存在差异, 不同类型的厌恶也不完全相同。可以采用不同的方法来诱发消费者的不同类型的厌恶。产品与服务、宣传、组织行为等均可能导致消费者产生不同类型的厌恶。不同类型的厌恶又会影响消费者行为, 如产品评价、购买意向、支付意愿、延迟决策、口碑、产品消费等。未来可以对厌恶与其他消极情绪对消费者行为影响的差异、不同类型的厌恶对消费者行为影响的差异、厌恶的前因变量与结果变量进行更深入的探索。"
"基于助推的环保行为干预策略","傅鑫媛,辛自强(),楼紫茜,高琰","2019 Vol. 27 Issue (11)  1939-1950<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01939","近年来, “助推”被越来越多地用于气候变化与生态环境治理实践, 成为促进人们环保行为的有效策略。但目前国内基于助推思想的环保行为干预研究和实践探索都还很缺乏。环保行为需要助推的根本原因在于人们在环保领域的决策存在认知局限和动机不足。相应的, 在认知和动机两大视角下主要有7种环保行为助推策略。认知视角的助推策略包括默认选项、框架效应和示范性规范, 动机视角的助推策略旨在激发家国动机、遗产动机、获益动机和自主动机以促进人们的环保行为。助推环保行为在实践中也存在争议, 实践工作者需明确助推环保行为的外部环境与传统社会治理思路的关系, 并掌握选择架构设计的技术要点。"
"任务转换训练和执行功能可塑性","王梓宇,孔子叶,朱荣娟,游旭群()","2019 Vol. 27 Issue (10)  1667-1676<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01667","任务转换训练是提高个体执行功能的方法之一。学者们采用不同的任务范式进行任务转换训练。研究结果发现, 任务转换训练可以降低个体的转换代价、提高其他认知任务的绩效。训练效果可以维持一定的时间。但是, 也有研究未发现明显的迁移效果和维持效果。年龄、其他执行成分的参与度、认知灵活性和策略可能会影响训练效果。任务转换训练可能通过提高个体解决任务设置冲突的能力、提高与任务转换相关的额-顶脑网络的参与程度以及建立自下而上的自动控制来提高个体的转换能力。未来研究应当对现有研究方法和程序进行标准化, 从执行功能整体与分离的结构特征角度看待任务转换训练, 寻找更为灵活的训练手段, 如tDCS技术。"
"增龄性联结记忆损伤及其影响因素","赵梦阳,郭若宇,毛伟宾(),赵参参","2019 Vol. 27 Issue (10)  1677-1686<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01677","老年人的联结记忆随年龄增长而出现普遍损伤, 这种增龄性联结记忆损伤究竟是因捆绑功能受损导致的特定损伤还是因整体认知机能受损导致的信息表征能力的整体损伤, 还存有争论。以Naveh-Benjamin (2000)的联结损伤假说(ADH)为代表的特定损伤观认为, 增龄性联结记忆损伤与老年人捆绑不同项目和提取这些捆绑的特定加工过程的损伤有关; 而以Benjamin (2010)的DRYAD模型为代表的整体损伤观则认为, 增龄性联结记忆损伤与老年人因老化而导致的记忆保持精度的整体损伤有关。二者在基本观点、实验支持及存在问题上各有侧重。此外, 影响增龄性联结损伤的因素还可大致分为刺激信息特性、被试主体特点两方面。同时强调未来研究不仅要关注老年人联结损伤的认知机制和影响因素, 更应关注其实际应用和临床指导价值。 "
"环境光照的认知功效及其调节因素与作用机理","汝涛涛1,2(),李芸3,钱柳3,陈庆伟1,3,钟罗金4,李静华5,周国富1,2()","2019 Vol. 27 Issue (10)  1687-1702<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01687","自人类视网膜上发现存在新型的内在光敏感神经节细胞以来, 环境光照对个体生理心理功能的非视觉作用备受研究者青睐, 其中环境光照对认知功能的非视觉作用结果并不十分一致且内在机理尚不明确。环境光照的认知功效会受到光学参数、光照模式、时间因素、个体差异以及任务特征等的共同调节。未来的研究需要从环境光对心理认知功能的作用模式, 动态办公照明系统的开发, 面向特殊群体的个性化照明以及光照非视觉作用产生的分子生物学机制等视角进行扩展和深化。"
