"title","authors","issue","abstract","year","vol","no","start_page","end_page","pages"
"费孝通教授２０世纪末研究成果的再学习[J].","李友梅.","社会杂志,2005,25(2):25-33.","李友梅. 费孝通教授２０世纪末研究成果的再学习[J]. 社会杂志, 2005, 25(2): 25-33.	",2005,25,2,25,33,9
"论费孝通的区域发展思想[J].","刘长喜　罗　鑫　刘豪兴.","社会杂志,2005,25(2):34-49.","刘长喜　罗　鑫　刘豪兴. 论费孝通的区域发展思想[J]. 社会杂志, 2005, 25(2): 34-49.	",2005,25,2,34,49,16
"城市社区民主建设与制度性约束——上海市居委会改革个案研究[J].","石发勇.","社会杂志,2005,25(2):50-77.","石发勇. 城市社区民主建设与制度性约束——上海市居委会改革个案研究[J]. 社会杂志, 2005, 25(2): 50-77.	",2005,25,2,50,77,28
"对改制公司“办”社区的思考——广州城中村撤村改制个案研究[J].","蓝宇蕴.","社会杂志,2005,25(2):78-92.","蓝宇蕴. 对改制公司“办”社区的思考——广州城中村撤村改制个案研究[J]. 社会杂志, 2005, 25(2): 78-92.	",2005,25,2,78,92,15
"城市社区的国家与社会：现实诉求和路径依赖——对Ｃ市“市长公开电话”的个案研究[J].","赵定东.","社会杂志,2005,25(2):93-111.","赵定东. 城市社区的国家与社会：现实诉求和路径依赖——对Ｃ市“市长公开电话”的个案研究[J]. 社会杂志, 2005, 25(2): 93-111.	",2005,25,2,93,111,19
"冲突的策略——以Ｓ市三峡移民的生活适应为例[J].","翁定军.","社会杂志,2005,25(2):112-136.","翁定军. 冲突的策略——以Ｓ市三峡移民的生活适应为例[J]. 社会杂志, 2005, 25(2): 112-136.	",2005,25,2,112,136,25
"寻找工作与寻找员工——将雇主引入劳动力供求市场的分析[J].","廖文伟　王丽云.","社会杂志,2005,25(2):137-156.","廖文伟　王丽云. 寻找工作与寻找员工——将雇主引入劳动力供求市场的分析[J]. 社会杂志, 2005, 25(2): 137-156.	",2005,25,2,137,156,20
"职业选择中的心理应对及其影响因素——以Ｆ大学硕士研究生样本为例[J].","陈曼蓉　张欢华.","社会杂志,2005,25(2):157-183.","陈曼蓉　张欢华. 职业选择中的心理应对及其影响因素——以Ｆ大学硕士研究生样本为例[J]. 社会杂志, 2005, 25(2): 157-183.	",2005,25,2,157,183,27
"情感，商业势力入侵的新对象——评霍赫希尔德《情感整饰：人类情感的商业化》一书[J].","淡卫军.","社会杂志,2005,25(2):184-195.","淡卫军. 情感，商业势力入侵的新对象——评霍赫希尔德《情感整饰：人类情感的商业化》一书[J]. 社会杂志, 2005, 25(2): 184-195.	",2005,25,2,184,195,12
"组织社会学的研究视野与问题——“转型中国的组织现象研究”学术研讨会综述[J].","李　怀.","社会杂志,2005,25(2):196-206.","李　怀. 组织社会学的研究视野与问题——“转型中国的组织现象研究”学术研讨会综述[J]. 社会杂志, 2005, 25(2): 196-206.	",2005,25,2,196,206,11
"中国“三资”企业中的文化冲突与文化创新[J].","陈国贲　黎熙元　陆何慧薇.","社会杂志,2005,25(3):8-26.","陈国贲　黎熙元　陆何慧薇. 中国“三资”企业中的文化冲突与文化创新[J]. 社会杂志, 2005, 25(3): 8-26.	",2005,25,3,8,26,19
"中国“三资”企业中的文化冲突与文化创新[J].","陈国贲　黎熙元　陆何慧薇.","社会杂志,2005,25(3):8-26.","陈国贲　黎熙元　陆何慧薇. 中国“三资”企业中的文化冲突与文化创新[J]. 社会杂志, 2005, 25(3): 8-26.	",2005,25,3,8,26,19
"中国“三资”企业中的文化冲突与文化创新[J].","陈国贲　黎熙元　陆何慧薇.","社会杂志,2005,25(3):8-26.","陈国贲　黎熙元　陆何慧薇. 中国“三资”企业中的文化冲突与文化创新[J]. 社会杂志, 2005, 25(3): 8-26.	",2005,25,3,8,26,19
"试论中国城市低保制度实践的延伸效果及其演进方向.[J].","洪大用.","社会杂志,2005,25(3):50-69.","洪大用. 试论中国城市低保制度实践的延伸效果及其演进方向.[J]. 社会杂志, 2005, 25(3): 50-69.	",2005,25,3,50,69,20
"社会工作质性评估研究的回顾（1990－2003）——对中国社会工作的启示.[J].","石丹理　韩晓燕　邓敏如.","社会杂志,2005,25(3):70-100.","石丹理　韩晓燕　邓敏如. 社会工作质性评估研究的回顾（1990－2003）——对中国社会工作的启示.[J]. 社会杂志, 2005, 25(3): 70-100.	",2005,25,3,70,100,31
"职业流动的途径及其相关因素——对上海市劳动力市场的实证分析[J].","陆德梅.","社会杂志,2005,25(3):101-115.","陆德梅. 职业流动的途径及其相关因素——对上海市劳动力市场的实证分析[J]. 社会杂志, 2005, 25(3): 101-115.	",2005,25,3,101,115,15
"结构分割与求职行为——对上海市失业人员的实证研究[J].","张襄誉.","社会杂志,2005,25(3):116-147.","张襄誉. 结构分割与求职行为——对上海市失业人员的实证研究[J]. 社会杂志, 2005, 25(3): 116-147.	",2005,25,3,116,147,32
"制度要素的有机组合：寻租理论评价的一种新的视角——以金融押运行业的制度变革为例.[J].","张茂元.","社会杂志,2005,25(3):148-166.","张茂元. 制度要素的有机组合：寻租理论评价的一种新的视角——以金融押运行业的制度变革为例.[J]. 社会杂志, 2005, 25(3): 148-166.	",2005,25,3,148,166,19
"世纪经济学方法论之争的启示[J].","何　蓉.德国历史学派与!""","社会杂志,2005,25(3):167-186.","何　蓉. 德国历史学派与!"" 世纪经济学方法论之争的启示[J]. 社会杂志, 2005, 25(3): 167-186.	",2005,25,3,167,186,20
"在理论模型的平台上思考新经济社会学的一个倡导[J].","王水雄.","社会杂志,2005,25(3):187-206.","王水雄. 在理论模型的平台上思考新经济社会学的一个倡导[J]. 社会杂志, 2005, 25(3): 187-206.	",2005,25,3,187,206,20
"无形的观念如何塑造有形的组织——对组织社会学新制度学派的一个回顾[J].","曹正汉.","社会杂志,2005,25(3):207-216.","曹正汉. 无形的观念如何塑造有形的组织——对组织社会学新制度学派的一个回顾[J]. 社会杂志, 2005, 25(3): 207-216.	",2005,25,3,207,216,10
"再论中产阶级：理论、历史与类型学——兼及一种全球化的视野[J].","周晓虹.","社会杂志,2005,25(4):1-24.","周晓虹. 再论中产阶级：理论、历史与类型学——兼及一种全球化的视野[J]. 社会杂志, 2005, 25(4): 1-24.	",2005,25,4,1,24,24
"阶层地位对城市居民社会网络性质的影响[J].","张文宏.","社会杂志,2005,25(4):25-38.","张文宏. 阶层地位对城市居民社会网络性质的影响[J]. 社会杂志, 2005, 25(4): 25-38.	",2005,25,4,25,38,14
"商品房住宅区公共物业自治管理制度分析——以上海市水仙苑小区为例[J].","顾　玫.","社会杂志,2005,25(4):39-69.","顾　玫. 商品房住宅区公共物业自治管理制度分析——以上海市水仙苑小区为例[J]. 社会杂志, 2005, 25(4): 39-69.	",2005,25,4,39,69,31
"情感社会学：研究的现状与趋势[J].","王　鹏　侯钧生.","社会杂志,2005,25(4):70-87.","王　鹏　侯钧生. 情感社会学：研究的现状与趋势[J]. 社会杂志, 2005, 25(4): 70-87.	",2005,25,4,70,87,18
"河北平安村的“续夫”婚姻[J].","高永平.","社会杂志,2005,25(4):88-104.","高永平. 河北平安村的“续夫”婚姻[J]. 社会杂志, 2005, 25(4): 88-104.	",2005,25,4,88,104,17
"家庭背景与教育分流教育——分流过程中的非学业性因素分析[J].","方长春.","社会杂志,2005,25(4):105-118.","方长春. 家庭背景与教育分流教育——分流过程中的非学业性因素分析[J]. 社会杂志, 2005, 25(4): 105-118.	",2005,25,4,105,118,14
"他们不再是孩子了——关于“新失业群体”现状的社会学报告[J].","吕鹏.","社会杂志,2005,25(4):119-142.","吕鹏. 他们不再是孩子了——关于“新失业群体”现状的社会学报告[J]. 社会杂志, 2005, 25(4): 119-142.	",2005,25,4,119,142,24
"谣言实现的社会机制及对信息的治理[J].","李国武.","社会杂志,2005,25(4):143-155.","李国武. 谣言实现的社会机制及对信息的治理[J]. 社会杂志, 2005, 25(4): 143-155.	",2005,25,4,143,155,13
"现代实证性社会预警的探索[J].","阎耀军.","社会杂志,2005,25(4):156-168.","阎耀军. 现代实证性社会预警的探索[J]. 社会杂志, 2005, 25(4): 156-168.	",2005,25,4,156,168,13
"试析人工神经网络运用于社会统计分析中的可能性[J].","刘　瑛.","社会杂志,2005,25(4):169-182.","刘　瑛. 试析人工神经网络运用于社会统计分析中的可能性[J]. 社会杂志, 2005, 25(4): 169-182.	",2005,25,4,169,182,14
"转型时代社会学的责任与使命——布迪厄《世界的苦难》及其启示[J].","毕向阳.","社会杂志,2005,25(4):183-194.","毕向阳. 转型时代社会学的责任与使命——布迪厄《世界的苦难》及其启示[J]. 社会杂志, 2005, 25(4): 183-194.	",2005,25,4,183,194,12
"作为精神分析的聆听——关于中国孤独症儿童家长的精神分析的讲座[J].","［法］米歇尔·吉布尔.","社会杂志,2005,25(4):195-208.","［法］米歇尔·吉布尔. 作为精神分析的聆听——关于中国孤独症儿童家长的精神分析的讲座[J]. 社会杂志, 2005, 25(4): 195-208.	",2005,25,4,195,208,14
"作为“乌托邦”的市场均衡理论——一个概述性检视[J].","汪和建.","社会杂志,2005,25(5):1-17.","汪和建. 作为“乌托邦”的市场均衡理论——一个概述性检视[J]. 社会杂志, 2005, 25(5): 1-17.	",2005,25,5,1,17,17
"知识与行动：结构化凝视-[J].","郭　强.","社会杂志,2005,25(5):18-38.","郭　强. 知识与行动：结构化凝视-[J]. 社会杂志, 2005, 25(5): 18-38.	",2005,25,5,18,38,21
"现代性的主题分化与社会学研究范式整合[J].","王建民.","社会杂志,2005,25(5):39-57.","王建民. 现代性的主题分化与社会学研究范式整合[J]. 社会杂志, 2005, 25(5): 39-57.	",2005,25,5,39,57,19
"当前中国社会阶层关系变迁中的非均衡问题[J].","王春光.","社会杂志,2005,25(5):58-77.","王春光. 当前中国社会阶层关系变迁中的非均衡问题[J]. 社会杂志, 2005, 25(5): 58-77.	",2005,25,5,58,77,20
"公民参与、群众参与与社区参与[J].","杨　敏.","社会杂志,2005,25(5):78-95.","杨　敏. 公民参与、群众参与与社区参与[J]. 社会杂志, 2005, 25(5): 78-95.	",2005,25,5,78,95,18
"茶馆观察：农村公共空间的复兴与基层社会整合[J].","戴利朝.","社会杂志,2005,25(5):96-117.","戴利朝. 茶馆观察：农村公共空间的复兴与基层社会整合[J]. 社会杂志, 2005, 25(5): 96-117.	",2005,25,5,96,117,22
"城市社区建设中政府与非政府组织互动关系的建立和演变——对华爱社和尚思社区中心的个案研究[J].","范明林　程　金.","社会杂志,2005,25(5):118-142.","范明林　程　金. 城市社区建设中政府与非政府组织互动关系的建立和演变——对华爱社和尚思社区中心的个案研究[J]. 社会杂志, 2005, 25(5): 118-142.	",2005,25,5,118,142,25
"知识、策略及权力关系再生产——对鲁西南某景区开发引起的社会冲突的分析[J].","杨继涛.","社会杂志,2005,25(5):143-166.","杨继涛. 知识、策略及权力关系再生产——对鲁西南某景区开发引起的社会冲突的分析[J]. 社会杂志, 2005, 25(5): 143-166.	",2005,25,5,143,166,24
"商业性性交易者艾滋病认知、态度与行为调查[J].","夏国美　杨秀石.","社会杂志,2005,25(5):167-187.","夏国美　杨秀石. 商业性性交易者艾滋病认知、态度与行为调查[J]. 社会杂志, 2005, 25(5): 167-187.	",2005,25,5,167,187,21
"关系：一种新的分析单位[J].","刘　军.","社会杂志,2005,25(5):188-202.","刘　军. 关系：一种新的分析单位[J]. 社会杂志, 2005, 25(5): 188-202.	",2005,25,5,188,202,15
"承前启后的重要理论成果——《郑杭生社会学学术历程》评介[J].","杨发祥.","社会杂志,2005,25(5):203-209.","杨发祥. 承前启后的重要理论成果——《郑杭生社会学学术历程》评介[J]. 社会杂志, 2005, 25(5): 203-209.	",2005,25,5,203,209,7
"和谐社会构建与西方社会学社会建设理论[J].","李培林　苏国勋等.","社会杂志,2005,25(6):6-27.","李培林　苏国勋等. 和谐社会构建与西方社会学社会建设理论[J]. 社会杂志, 2005, 25(6): 6-27.	",2005,25,6,6,27,22
"解读韦伯的三大隐喻探测韦伯对现代性的洞察[J].","张　钰.","社会杂志,2005,25(6):28-50.","张　钰. 解读韦伯的三大隐喻探测韦伯对现代性的洞察[J]. 社会杂志, 2005, 25(6): 28-50.	",2005,25,6,28,50,23
"论鲍曼社会理论的核心议题[J].","郇建立.","社会杂志,2005,25(6):51-67.","郇建立. 论鲍曼社会理论的核心议题[J]. 社会杂志, 2005, 25(6): 51-67.	",2005,25,6,51,67,17
"社会分层与社会和谐[J].","童　星　张海波.","社会杂志,2005,25(6):68-80.","童　星　张海波. 社会分层与社会和谐[J]. 社会杂志, 2005, 25(6): 68-80.	",2005,25,6,68,80,13
"企业生产资源获取方式的研究[J].","蔡　禾.","社会杂志,2005,25(6):81-93.","蔡　禾. 企业生产资源获取方式的研究[J]. 社会杂志, 2005, 25(6): 81-93.	",2005,25,6,81,93,13
"全球乡村治理视野下的中国乡村治理的个案分析#br#[J].","周运清　王培刚.","社会杂志,2005,25(6):94-108.","周运清　王培刚. 全球乡村治理视野下的中国乡村治理的个案分析#br#[J]. 社会杂志, 2005, 25(6): 94-108.	",2005,25,6,94,108,15
"乡镇干部群体的角色实践及其弱势化：一项类型学的观察——以湖南塘镇为例[J].","董海军.","社会杂志,2005,25(6):109-130.","董海军. 乡镇干部群体的角色实践及其弱势化：一项类型学的观察——以湖南塘镇为例[J]. 社会杂志, 2005, 25(6): 109-130.	",2005,25,6,109,130,22
"场域、惯习与农民生育行为布迪厄实践理论视角下农民生育行为[J].","刘中一.","社会杂志,2005,25(6):131-145.","刘中一. 场域、惯习与农民生育行为布迪厄实践理论视角下农民生育行为[J]. 社会杂志, 2005, 25(6): 131-145.	",2005,25,6,131,145,15
"社区治理与权力秩序的重构——对上海市KJ社区的研究[J].","张虎祥.","社会杂志,2005,25(6):146-171.","张虎祥. 社区治理与权力秩序的重构——对上海市KJ社区的研究[J]. 社会杂志, 2005, 25(6): 146-171.	",2005,25,6,146,171,26
"日常仪式化行为：以知青为例的研究[J].","吴艳红　（美）J.DavidKnottnerus.","社会杂志,2005,25(6):172-190.","吴艳红　（美）J.David Knottnerus. 日常仪式化行为：以知青为例的研究[J]. 社会杂志, 2005, 25(6): 172-190.	",2005,25,6,172,190,19
"伦理情境下的博弈、仪式与象征——关于清朝中晚期士绅和庶民生活的个案研究[J].","杨　政.","社会杂志,2005,25(6):191-209.","杨　政. 伦理情境下的博弈、仪式与象征——关于清朝中晚期士绅和庶民生活的个案研究[J]. 社会杂志, 2005, 25(6): 191-209.	",2005,25,6,191,209,19
"“农民行动单位与村治模式”研讨会综述[J].","申端锋.","社会杂志,2005,25(6):210-213.","申端锋. “农民行动单位与村治模式”研讨会综述[J]. 社会杂志, 2005, 25(6): 210-213.	",2005,25,6,210,213,4
"社会学浪漫主义探视.[J].","郭景萍.","社会杂志,2006,26(1):1-22.","唯善主义倾向、“个人主义”价值观、非功利主义气质、人文主义方法论等，是浪漫主义的一般特征，社会学浪漫主义也具有这些特征。同时，浪漫主义在社会学领域又特殊地表现为秩序型、建构型、女性学、批判型、现代性以及后现代的浪漫主义特征，浪漫主义被社会学化了。社会学浪漫主义的两种机缘态度体现出两种基本取向：情感浪漫主义与理性浪漫主义。浪漫主义社会学的意义不在于它的理论模式，而在于它的现实风格。",2006,26,1,1,22,22
"社会建构论：社会问题理论研究的一种新视角[J].","闫志刚.","社会杂志,2006,26(1):23-35.","西方建构主义理论对社会问题的研究，提出了一套全新的概念范畴和分析框架，并产生了许多经验研究成果。这种研究在很大程度上异于对社会问题的常识性理解和传统的研究视角。该理论认为社会问题的社会学研究主题不是“有问题的”客观事实或状态，而是这些事实或状态被宣称成为社会问题的活动和过程。经由这些活动和过程，社会问题建构性地存在着。本文通过与传统社会问题理论的比较，着重探讨建构论所进行的社会问题新的理论研究转向及其启发意义。",2006,26,1,23,35,13
"城市夫妻间的婚内暴力冲突及其对健康的影响.[J].","王天夫.","社会杂志,2006,26(1):36-60.","",2006,26,1,36,60,25
"人力信息传递与关系网络的变动——以职业流动的个案为例.[J].","王水雄　杨颖琳.","社会杂志,2006,26(1):61-82.","关系网络未必总是积极的，从而也未必总能构成社会资本。本文试图将信息经济学的信号传递问题与社会学的关系网络研究结合起来，以职业流动的个案为例，来探讨人力投资、信息传递与关系网络改变的逻辑联系。在求职过程中，行为者随机会集合的状况不同会对关系网络有不同的倾向；行为者可选择的机会集合与其人力的状况、人力显示方式和程度有着密切的关系。在机会集合一定的情况下，关系网络除了有助于行为者获取职业信息之外，还会影响外界对他／她的评价，进而影响其人力信息的传递；而对自己感兴趣的方向进行人力投资不仅会改善人力状况，还能多样化人力显示方式（包含改变关系网络在内），强化人力显示程度。
　",2006,26,1,61,82,22
"社会网络资本与干部职业地位获得[J].","周　玉.","社会杂志,2006,26(1):83-97.","本文利用2003年-5月至2004 年5 月间对两省委党校部分学员的调查资料，分析了社会网络资本、人力资本和年龄等因素对干部现职级别的影响，结果发现，社会网络资本在干部职业地位获得过程中确实起着重要作用。其中，网络顶端、父母行政级别、关键人行政级别、与关键人的熟悉程度等因素对因变量具有显著的正面影响，而网络规模、网络多元性等对因变量的影响不显著或产生负面影响。这说明，在当前干部职业地位获得过程中，关系强度和地位发挥了关键作用，而广泛的交往并不能增加干部职位提升的机会。多元回归分析还表明，社会网络资本并不是唯一起作用的因素，人力资本和社会资本构成了当前干部职业地位获得中的并行不悖的双重机制。",2006,26,1,83,97,15
"城市居民个人背景与职业适应性研究——以杭州市为例.[J].","范成杰.","社会杂志,2006,26(1):98-111.","本文利用问卷调查所得资料，定量描述了现阶段城市居民的职业综合适应水平的基本情况，并运用高级统计方法探讨了与城市居民职业适应水平相关的因素。研究发现，城市居民的职业综合适应水平较高。与城市居民职业适应水平密切相关的因素主要有本人的政治面貌、勤奋与否、职称水平（中级、高级）、母亲一般职务以及社会网络规模。通过上述的分析与讨论，笔者初步构建了一个关于城市居民职业适应性的分析图，试图阐释了城市居民阶层背景因素、竞争能力因素、社会支持网因素对其职业适应水平的影响关系。笔者认为，相对而言，城市居民的竞争能力对其职业适应性的影响更强一些。",2006,26,1,98,111,14
"父母教育背景对子女在高校中学习与社会活动的影响[J].","李锋亮　侯龙龙　文东茅.","社会杂志,2006,26(1):112-129.","本文利用2003年北大课题组进行的全国范围内的高校毕业生调查数据，考察父母的教育背景对子女在高校中学习与社会活动行为的影响。实证结果发现，父母的教育背景对于其子女在高校中的英语过级以及担任学生干部都有正向促进作用；本研究将这种现象归因于高教育程度的家长从小就注重对其子女性格和心理素质的培养以及在高等教育阶段家庭与学校联合生产的结果。",2006,26,1,112,129,18
"城乡居民主观生活质量比较研究初探[J].","邢占军.","社会杂志,2006,26(1):130-141.","本研究在山东省范围内取样（N=1224），对中国城市居民主观幸福感量表运用于城乡居民的测量学特性进行了检验。结果表明，该量表适用于城乡居民。运用该量表对城乡居民主观生活质量的初步比较研究表明，从总体上看，农村居民的主观生活质量低于城市居民。这种差距反映了我国城乡经济社会发展中客观存在的差距。经济转轨和社会转型对农村社会的观念与心理冲击要远远大于城市社会，因此农村居民的主观生活质量对于整个社会的稳定与发展具有不可忽略的影响，应当引起高度的关注。",2006,26,1,130,141,12
"地区为个案[J].","徐　新.地方望族的权力运作模式——以W","社会杂志,2006,26(1):143-166.","本篇论文把.地区自明清以来的城市望族作为一个整体来进行考察，以近现代化的社会变迁为研究背景，以望族的权力为切入点，分析两个问题：一是从资源的角度，研究望族的权力运行逻辑；二是从策略角度，研究望族在角色转换与地位提升过程中的各种权力技术，从而探讨城市望族在急剧的社会变迁过程中发展演变的规律。",2006,26,1,143,166,24
"地下“六合彩”在农村社会的运作逻辑：关系与信任的运用——洋村田野研究.[J].","邓燕华.","社会杂志,2006,26(1):167-186.","本文根据在洋村长期的田野研究获得的资料，用关系和信任的理论，从微观的视角来揭示地下“六合彩”在农村社会的运行逻辑：1、关系是地下“六合彩”蔓延的脉络；2、“自己人”和“外人”有着不同的交易规则；3、关系信任是地下“六合彩”交易的根本保障。最后，笔者得出了以下结论：1、地下“六合彩”是一种集体越轨的产物；2、工具情感关系是农村社会转型时期的主导关系类型；3、目前农村社会中关系信任受到了削弱，而制度信任尚未建立。
　",2006,26,1,167,186,20
"颠覆与建构1990年代以来英文学界中国女性群体形象研究[J].","叶敏磊　毛　升.","社会杂志,2006,26(1):187-205.","在当今中国女性研究领域，女性群体形象一直是东西方学界共同关注的主题之一，特别是20 世纪90年代以来西方出现了一批较有分量的研究专著和期刊论文。本文试图对20 世纪90年代以来有关中国女性群体形象的英文研究成果加以评介，并与大陆女性研究进行比较，以期从女性群体形象的角度探讨西方中国女性研究的特点及其与大陆女性研究在理论立足点、学者性别构成、选题等方面的异同。这些女性群体包括：新女性传统女性、才女、家庭妇女职业妇女、贞妇烈女、妓女、农村妇女、女勇士、女尼等。",2006,26,1,187,205,19
"现代性过程中“个人”的创生与集体化——行走在自我创新前夜的“个人”[J].","郑杭生　杨　敏.","社会杂志,2006,26(2):1-17.","早期现代性和工业化确定了社会集合性的大型集体化和组织化的表现方式，创生了集体化社会及其个人。对独一无二的现代生活的描述、构想和解释成为了这一时期新兴科学和社会科学的一项任务，社会学更是倾力表达了这段“大写的历史”，刻画了民族国家社会的一体化形貌，也反映了社会系统及其结构的刚性状态对个人活力的禁锢、封冻。在全球化的今天，我们时代的现代性正越过滞涩和趔趄的阶段，变得自由、液化、轻盈，日益趋向更加流畅的形态；“个人”正行走在自我创新的前夜，以新的面貌走向我们、走进社会学。对“个人”与“社会”重新进行“大尺度”的社会学观察和思考，能够发掘出蕴含其中的应对现实生活种种问题的新策略，发现当代社会与个人不断发展的弹性、柔韧、包容和耦合能力，把握使我们的世界从差异走向认同、由分歧达成共识，以及跨越矛盾、实现和谐的现实依据。",2006,26,2,1,17,17
"超越后现代社会学，建构后现代性社会学——鲍曼的理论构想及方法论探析[J].","郑莉.","社会杂志,2006,26(2):18-33.","英国著名的社会学家齐格蒙特· 鲍曼在4050 年发表的《社会学对后现代性的回应》（后收入《后现代性的通告》）一文中首次对后现代社会学与后现代性社会学进行了区分。鲍曼尝试用“社会性”、“栖息地”、“自我建构”与“自我组装”等概念分析当代西方社会崭新的人类状况。本文试图在阐述鲍曼关于后现代性社会学理论构想的同时，剖析这一构想所凸显的社会学在后现代状况下的理论定位及方法论问题。",2006,26,2,18,33,16
"社会理论的空间转向[J].","何雪松.","社会杂志,2006,26(2):34-48.","社会理论的空间转向是社会理论的当代进展的一个重要组成部分，它沿着两条路径展开：一方面，吉登斯、布迪厄等社会理论大师在现代性架构下检视空间与社会的交互关系对于研究社会结构与社会过程的重要性；另一方面，后现代社会理论家采用一系列的地理学概念和隐喻来探索日益复杂和分化的社会世界。本文旨在系统地呈现这一转向的基本脉络。",2006,26,2,34,48,15
"“双色蛋糕”：中间阶层的异质化特征[J].","张　伟　.","社会杂志,2006,26(2):49-63.","中间阶层作为一个在结构上拥有类似的社会综合地位的社会共同体，同时不能忽略其内部结构的异质化特征。特别是，随着我国市场机制的逐渐确立，以及体制权力的主要作用领域从政治资源转向为经济资源，形成了二元化“市场体制”利益配置机制，可以用中间阶层“双色蛋糕”模型进行形象描述。“双色蛋糕”异质化特征导致中间阶层各群体产生利益分化与冲突，并在长期阶段内存在，影响到中间阶层的整合与期望功能的实现，需要有效控制公共部门的私利取向以淡化其消极作用。",2006,26,2,49,63,15
"从学以致用、文野之别到文化自觉——费孝通老师的文化功能论[J].","沈关宝.","社会杂志,2006,26(2):64-79.","著名社会学家、人类学家费孝通先生在社会学中国化的过程中，对社会人类学的理论和方法发展作出了巨大贡献，具体表现为：1、学以致用的价值取向；2、对马林诺斯基功能理论偏颇的修正；3、提出“心态”概念和“文化自觉性”观点；4、应用类型比较的田野研究方法。",2006,26,2,64,79,16
"扩展中国社会学新境界[J].","刘少杰.","社会杂志,2006,26(2):80-101.","费孝通晚年多次倡导，中国社会学要突破实证社会学的单纯科学主义视野，应当科学精神和人文精神并举，在对社会生活开展客观性研究的同时伸张人文关怀。根据这个原则，费孝通主张社会学应当注重对精神世界开展研究，重视文化传统、意会沟通和内在自我等方面在社会生活中的深层作用，要在各民族的古代文明中发现具有不同特点的思维方式和对社会生活的研究方式。费孝通的这些主张具有十分重要的学术价值，为中国社会学开拓新视野、展开新境界指明了前进的方向。",2006,26,2,80,101,22
"社会学的人文属性与社会学研究——兼论费孝通《试谈扩展社会学的传统界限》一文的理论意涵#br#[J].","田毅鹏　刘拥华.","社会杂志,2006,26(2):102-114.","自社会学学科创建以来，社会学的“科学属性”与“人文属性”以及两者之间的关联一直是备受争议的话题。本文从对费孝通晚年一文的解读出发，试图在解读的基础上对此问题展开进一步阐述。文章认为，基于中国社会的历史与现实，学科的人文属性是社会学题中应有之义；从社会学的“学科意识”这一维度出发，阐述在社会学本土化趋势下，社会学如何与人文科学进行有意义的勾联，是社会学扩展自身传统界限的关键。
　",2006,26,2,102,114,13
